,molecule_chembl_id,IC50,units,smiles,pIC50
180,CHEMBL74667,10000.0,nM,CC(C)(O)CCCCc1cccc(/C=C/[C@]2(C)CC[C@@H](O)CC2)c1,5.0
181,CHEMBL605514,11300.0,nM,CC(C)c1ccc(Sc2c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C3CC3)nc3ccccc23)cc1,4.94692155651658
182,CHEMBL2347005,13200.0,nM,C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O3)[C@H]2[C@@H](OC(=O)NCCCCCCC(=O)NO)C1,4.87942606879415
183,CHEMBL2347009,14900.0,nM,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)NO,4.826813731587726
184,CHEMBL2347006,15900.0,nM,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)NO)[C@H]21,4.798602875679548
185,CHEMBL2347011,16100.0,nM,C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O3)[C@H]2[C@@H](OC(=O)NCc2ccc(-c3cn(CCCCCCC(=O)NO)nn3)cc2)C1,4.79317412396815
186,CHEMBL258999,16940.0,nM,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)CN)C(=O)NCC(=O)NCC(=O)O,4.771086594005312
187,CHEMBL261334,19430.0,nM,CC(C)C[C@H](NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)O)[C@@H](C)O,4.7115271994002175
188,CHEMBL2203595,21700.0,nM,C/C(=C\CC[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C)C(=O)O,4.663540266151471
189,CHEMBL2347010,22300.0,nM,C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O3)[C@H]2[C@@H](OC(=O)Nc2ccc(-c3cn(CCCCCCC(=O)NO)nn3)cc2)C1,4.651695136951839
190,CHEMBL2203597,22300.0,nM,C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3=O)C(=O)O,4.651695136951839
191,CHEMBL412295,22310.0,nM,CC(C)C[C@H](NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)NCC(=O)O,4.651500429716163
192,CHEMBL606359,25700.0,nM,COc1ccc2nc(C3CC3)c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(Sc3ccc(F)cc3)c2c1,4.590066876668706
193,CHEMBL410639,27280.0,nM,CC(C)C[C@H](NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)NCC(=O)O,4.564155634015559
194,CHEMBL486985,30200.0,nM,CC1=CCC[C@@H]2[C@@](C)(CCC3=CC(=O)O[C@@H]3O)[C@H](C)CC[C@@]12C,4.519993057042849
195,CHEMBL411443,41210.0,nM,CC(C)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,4.384997385475412
196,CHEMBL594578,41300.0,nM,COc1ccc2nc(C3CC3)c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(Sc3ccc(C(C)C)cc3)c2c1,4.384049948343599
197,CHEMBL409841,44810.0,nM,CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,4.348625056086957
198,CHEMBL593686,45700.0,nM,O=C1C[C@H](O)C[C@@H](/C=C/c2c(C3CC3)nc3cc(Sc4ccc(F)cc4)c(F)cc3c2Sc2ccc(F)cc2)O1,4.34008379993015
199,CHEMBL261748,52670.0,nM,CC[C@H](C)[C@H](N)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C,4.2784366816425194
200,CHEMBL595988,62400.0,nM,O=C1C[C@H](O)C[C@@H](/C=C/c2c(C3CC3)nc3ccccc3c2Sc2ccc(F)cc2)O1,4.204815410317576
201,CHEMBL259240,75230.0,nM,CC[C@H](C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C,4.123608938180812
202,CHEMBL1163198,152190.0,nM,CC[C@H](C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)O)C(C)C)[C@@H](C)O)C(C)C,3.8176138829629336
203,CHEMBL260510,201120.0,nM,CC[C@H](C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)O)C(C)C)C(C)C,3.6965447396581173
204,CHEMBL595754,359600.0,nM,COc1cccc(Sc2c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C3CC3)nc3cc(F)c(F)cc23)c1,3.4441803169388088
205,CHEMBL3986260,387000.0,nM,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)[C@H](O)C2=C[C@@H](O)[C@H](C)[C@H](CC[C@@H]3CC=CC(=O)O3)[C@H]21,3.4122890349810886
206,CHEMBL412060,484720.0,nM,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)O,3.3145090605115266
207,CHEMBL595984,759000.0,nM,CC(C)c1ccc(Sc2c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C3CC3)nc3cc(F)c(F)cc23)cc1,3.11975822410452
